#SampleID	Description	country	Env	SourceSink
659.NZFACE.R6.control	soil sample from rhizosphere soil of ryegrass from Ring 6 of NZ FACE expt . In ring 6 pasture atmosphere is enriched with ambient CO2 throughout photoperiod and throughout photoperiod since 1997. area exposed to warming treatment since 2009	GAZ:New Zealand	pasture	source
659.NZFACE.R6.warm	soil sample from rhizosphere soil of ryegrass from Ring 6 of NZ FACE expt . In ring 6 pasture atmosphere is enriched with ambient CO2 throughout photoperiod and throughout photoperiod since 1997. area exposed to warming treatment since 2009	GAZ:New Zealand	pasture	source
722.CC1.1.s.1.1.sequence	Cedar Creek Minnesota, grassland, pH 6.1	GAZ:United States of America	grassland soil	source
722.CL3.1.s.1.1.sequence	Calhoun South Carolina Pine soil, pH 4.9	GAZ:United States of America	forest soil	source
722.SV1.1.s.1.1.sequence	Sevilleta New Mexico, desert scrub, pH 8.3	GAZ:United States of America	shrubland	source
722.CC1.2.s.2.1.sequence	Cedar Creek Minnesota, grassland, pH 6.1	GAZ:United States of America	grassland soil	source
722.CL3.2.s.2.1.sequence	Calhoun South Carolina Pine soil, pH 4.9	GAZ:United States of America	forest soil	source
722.SV1.2.s.2.1.sequence	Sevilleta New Mexico, desert scrub, pH 8.4	GAZ:United States of America	shrubland	source
722.CC1.3.s.3.1.sequence	Cedar Creek Minnesota, grassland, pH 6.1	GAZ:United States of America	grassland soil	source
722.CL3.3.s.3.1.sequence	Calhoun South Carolina Pine soil, pH 4.9	GAZ:United States of America	forest soil	source
722.SV1.3.s.3.1.sequence	Sevilleta New Mexico, desert scrub, pH 8.5	GAZ:United States of America	shrubland	source
722.CC1.4.s.4.1.sequence	Cedar Creek Minnesota, grassland, pH 6.1	GAZ:United States of America	grassland soil	source
722.CL3.4.s.4.1.sequence	Calhoun South Carolina Pine soil, pH 4.9	GAZ:United States of America	forest soil	source
722.SV1.4.s.4.1.sequence	Sevilleta New Mexico, desert scrub, pH 8.6	GAZ:United States of America	shrubland	source
722.CC1.5.s.6.1.sequence	Cedar Creek Minnesota, grassland, pH 6.1	GAZ:United States of America	grassland soil	source
722.CL3.5.s.6.1.sequence	Calhoun South Carolina Pine soil, pH 4.9	GAZ:United States of America	forest soil	source
722.SV1.5.s.6.1.sequence	Sevilleta New Mexico, desert scrub, pH 8.7	GAZ:United States of America	shrubland	source
722.CC1.6.s.7.1.sequence	Cedar Creek Minnesota, grassland, pH 6.1	GAZ:United States of America	grassland soil	source
722.CL3.6.s.7.1.sequence	Calhoun South Carolina Pine soil, pH 4.9	GAZ:United States of America	forest soil	source
722.SV1.6.s.7.1.sequence	Sevilleta New Mexico, desert scrub, pH 8.8	GAZ:United States of America	shrubland	source
722.CC1.7.s.8.1.sequence	Cedar Creek Minnesota, grassland, pH 6.1	GAZ:United States of America	grassland soil	source
722.CL3.7.s.8.1.sequence	Calhoun South Carolina Pine soil, pH 4.9	GAZ:United States of America	forest soil	source
722.SV1.7.s.8.1.sequence	Sevilleta New Mexico, desert scrub, pH 8.9	GAZ:United States of America	shrubland	source
776.SC.BE.T1A	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SN.2.C.T1C	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SN.BE.T3B	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SC.BE.T1B	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SN.2.C.T3A	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SN.BE.T3C	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SC.C.T1A	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SC.BE.T1C	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SN.2.C.T3B	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SC.C.T1B	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SC.BE.T3A	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SN.2.C.T3C	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SC.C.T1C	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SC.BE.T3B	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SN.BE.T1A	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SC.C.T3A	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SC.BE.T3C	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SN.BE.T1B	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SC.C.T3B	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SN.2.C.T1A	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SC.C.T3C	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SN.2.C.T1B	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.SN.BE.T3A	Microcosms constructed at Brazilian Antarctic Station Comandante Ferraz using diesel-oil contaminated soil (15 days treatment)	GAZ:Antarctica	oil contaminated soil	source
776.Ant.Solo.N.cont.A	control soil	GAZ:Antarctica	surface soil	source
776.Ant.Solo.N.cont.B	control soil	GAZ:Antarctica	surface soil	source
776.Ant.Solo.N.cont.C	control soil	GAZ:Antarctica	surface soil	source
776.Ant.Solo.cont.A	control soil	GAZ:Antarctica	surface soil	source
776.Ant.Solo.cont.B	control soil	GAZ:Antarctica	surface soil	source
776.Ant.Solo.cont.C	control soil	GAZ:Antarctica	surface soil	source
805.pH.4.5.year.2006	pH 4.5 year 2006	GAZ:Scotland	agricultural soil	source
805.pH.4.5.year.2007	pH 4.5 year 2007	GAZ:Scotland	agricultural soil	source
805.pH.5.0.year.2006	pH 5.0 year 2006	GAZ:Scotland	agricultural soil	source
805.pH.5.0.year.2007	pH 5.0 year 2007	GAZ:Scotland	agricultural soil	source
805.pH.5.5.year.2006	pH 5.5 year 2006	GAZ:Scotland	agricultural soil	source
805.pH.5.5.year.2007	pH 5.5 year 2007	GAZ:Scotland	agricultural soil	source
805.pH.6.0.year.2006	pH 6.0 year 2006	GAZ:Scotland	agricultural soil	source
805.pH.6.0.year.2007	pH 6.0 year 2007	GAZ:Scotland	agricultural soil	source
805.pH.6.5.year.2006	pH 6.5 year 2006	GAZ:Scotland	agricultural soil	source
805.pH.6.5.year.2007	pH 6.5 year 2007	GAZ:Scotland	agricultural soil	source
805.pH.7.0.year.2006	pH 7.0 year 2006	GAZ:Scotland	agricultural soil	source
805.pH.7.0.year.2007	pH 7.0 year 2007	GAZ:Scotland	agricultural soil	source
805.pH.7.5.year.2006	pH 7.5 year 2006	GAZ:Scotland	agricultural soil	source
805.pH.7.5.year.2007	pH 7.5 year 2007	GAZ:Scotland	agricultural soil	source
808.AK.19.12a.s.4.1.sequences	soil core	GAZ:United States of America	taiga	source
808.AK.19.12a.s.4.1.sequences.r	soil core	GAZ:United States of America	taiga	source
808.AK.19.15a.s.4.1.sequences	soil core	GAZ:United States of America	taiga	source
808.AK.19.18a.s.4.1.sequences	soil core	GAZ:United States of America	taiga	source
808.FL.3.13a.s.4.1.sequences	soil core	GAZ:United States of America	forest soil	source
808.FL.3.14a.s.4.1.sequences	soil core	GAZ:United States of America	forest soil	source
808.FL.3.16a.s.4.1.sequences	soil core	GAZ:United States of America	forest soil	source
808.HI.20.11a.s.4.1.sequences	soil core	GAZ:United States of America	forest soil	source
808.HI.20.11a.s.4.1.sequences.r	soil core	GAZ:United States of America	forest soil	source
808.UT.15.42.s.4.1.sequences	soil core	GAZ:United States of America	basin	source
808.UT.15.42.s.4.1.sequences.r	soil core	GAZ:United States of America	basin	source
808.UT.15.44.s.4.1.sequences	soil core	GAZ:United States of America	basin	source
808.UT.15.45.s.4.1.sequences	soil core	GAZ:United States of America	basin	source
829.JJ	[JJ], arid-soil	GAZ:India	dry soil	source
829.Pd	[Pd], semiarid-soil	GAZ:India	dry soil	source
846.Fagna24102011Soil12A1	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
846.Fagna24102011Soil12A2	Soil from maize field tilled by ripper subsoiling (max depth 40cm)	GAZ:Italy	agricultural soil	source
