#SampleID	Oil palm plantation	agricultural feature	agricultural soil	alluvial paddy field soil	animal-associated habitat	basin	bog	clay soil	coffee plantation	cultivated habitat	dam	dry lake	dry soil	extreme high temperature habitat	farm soil	field	field soil	fluvisol	forest	forest soil	garden soil	grassland soil	luvisol	mountain	national park	oil contaminated soil	pasture	peatland	permafrost	plant-associated habitat	podzol	shrubland	steppe soil	surface soil	taiga	tropical soil	tundra	volcano	wetland	Unknown
515rcbc8	0.0006069128399253655	0.0004949448597583203	0.0003268099351730462	0.0002302558391860887	6.389710663783135e-05	8.426500884694863e-05	9.389658165949003e-05	0.0002866868485166804	0.0001747356414092392	0.00024818870469079507	0.00012403473458920847	7.844645405527362e-05	0.00014675987714106854	3.525058226889108e-05	0.00011305337274383899	0.0001517160224870463	0.0005332162100191806	0.00020712172335132702	0.00022081077068318954	0.00012307692307692307	0.0006095880848048909	0.00013234346564680962	0.00024997041245033725	0.0006054974970509055	0.00031678861972267685	0.00014915938022819474	0.00021702670737947516	7.256908563120464e-05	8.970695222838922e-05	0.00024325212770525998	0.0003525897426574105	6.923076923076922e-05	9.730085108210398e-05	0.00015839430986133845	0.00025789314791138787	0.0001976189627486943	0.0005047115293022846	0.0005930564697660425	0.0005107715477241242	0.0017259077021815796
515rcbc9	0.00015403834149615991	0.000417445032345081	0.0005840077814185326	6.389710663783134e-05	9.262765060609457e-05	0.0003321082022295831	3.076923076923076e-05	0.0002069788314934417	0.0006445492898004376	0.00023696802770383632	0.00021702670737947516	5.384615384615385e-05	0.00013952582420936196	3.846153846153846e-05	0.00027958125915978846	0.0003077884465191163	0.00047349887373884304	0.0002660248687044705	0.00022870874995874625	0.00011640573808016583	0.0005549135014421979	0.0002914968510999449	0.00015839430986133848	9.850960365281304e-05	0.0005686067265408103	0.00014615384615384615	0.00022935463870577802	7.536891516255933e-05	6.153846153846154e-05	0.00020925339244208372	9.607689228305227e-05	0.0002467540758822375	0.00017558018785405119	0.00012498520622516863	0.0001112064022676997	3.076923076923077e-05	0.0003241739616262381	0.0006211270534826569	0.0003470927437747225	0.0013331459434393796
515rcbc10	0.0002923076923076923	0.0003186510027262766	0.0005447978833731007	0.0002048234916260669	7.050116453778214e-05	0.00014675987714106857	5.1024996774698464e-05	0.000589905217539626	0.0005573075595901525	0.00022623755645927296	0.00019091805609216703	9.850960365281305e-05	0.00015073783032511863	2.307692307692308e-05	0.00019292209544591465	0.0002555884265513254	0.0007814415445661718	0.0003193929152619491	0.0003092269421883351	0.00017269187938956653	0.00024276513597014615	0.00013076923076923075	7.256908563120463e-05	0.0001854149352799069	0.0005570420612378971	0.00016923076923076926	0.00024031537464328168	0.0001289465739556939	6.007884366082042e-05	0.00016153846153846153	0.00014204757932784144	0.00021879173312812144	0.00010348941574672083	0.00023634294608826487	0.0001249852062251686	0.0001191687183448436	0.0006163454038156963	0.0005282549142581353	0.0004833928413343068	0.0008399774581365361
515rcbc11	0.0003205025639384563	0.0005730123866604215	0.000651625187216842	0.0001451381712624093	7.692307692307693e-05	0.00020191391920625673	0.0001090572836827525	0.00022505752058965835	0.0003388983195678567	0.0002899704126918579	0.0002467540758822376	0.00011817147304413242	0.00033139475736212337	6.705998374677959e-05	0.00047945975514607453	0.00023192020664125133	0.00043214067400578897	0.00041772843022724497	0.00018219568126656943	0.00013411996749355918	0.0006697610631089305	0.0005420212009216251	0.00014615384615384612	0.0002412982637132019	0.0005088564741089608	0.00020769230769230768	0.0003477739863217636	6.201736729460424e-05	0.00011435437497937311	0.00023696802770383632	0.00017217714835076456	0.0002940233054402522	0.00014776440547921958	0.00013345655056074977	0.0001076923076923077	8.461538461538463e-05	0.00024093015020562809	0.0006961007204548431	0.0007166655199293609	0.0012868014563893217
515rcbc12	0.00017354637188736116	0.00047797650408941487	0.0004898979485566356	0.000218114567365505	3.525058226889108e-05	0.00027315816776253386	7.536891516255933e-05	0.0002846153846153846	0.0006721862238447223	0.0002307692307692308	0.00017131582654861605	4.9254801826406534e-05	0.00016587583579113713	2.307692307692308e-05	0.00013411996749355915	0.00035882780891355695	0.000576923076923077	0.0003475186768638928	0.0002619905594757908	7.536891516255933e-05	0.0006095880848048906	0.00039041777047536986	0.0002333192444323554	0.00027735009811261454	0.0003849229539445171	0.00015839430986133845	0.00035617959700893	0.00013760418323075627	0.00014595127662315598	0.00020366465069036497	0.00014267105377685697	0.0001898301950654318	0.00017217714835076454	0.00022610674548767797	0.00014513817126240926	6.389710663783135e-05	0.0003356526804503297	0.0002409301502056281	0.000384922953944517	0.001383952832934339
515rcbc13	0.00020293701474266028	0.0001747356414092392	0.0007442481611961073	0.00020117995124033878	0.0	0.00020073828231845984	5.102499677469846e-05	0.0003559303169618239	0.0005686067265408101	0.00032170036409733053	0.00024434431037336293	5.3846153846153853e-05	0.00012138256798507309	5.102499677469846e-05	0.00021150349361334647	0.0003190221746665803	0.0005114661603039782	0.00023945203717343664	0.0001735463718873612	0.00018138194034694762	0.00015764539639937842	0.00026468693129361924	0.00010878565864408423	0.00018138194034694762	0.0006401275760420479	0.00016299707769551605	0.00024615384615384614	6.923076923076922e-05	7.692307692307693e-05	0.0001735463718873612	0.00015839430986133848	0.00024434431037336293	8.970695222838922e-05	0.0001043435382019272	8.031005006854269e-05	3.076923076923076e-05	0.0002804265559008951	0.0006184538843766702	0.0005046529066725147	0.0007964789377157775
515rcbc14	0.00015307499032409536	0.00027617420109255755	0.0003756650906792244	9.760444261884245e-05	3.076923076923076e-05	0.00023584168795009067	9.23076923076923e-05	0.0004818603004112561	0.0006242154839590261	0.0007135211461726295	0.0001760849714193784	9.730085108210397e-05	0.00013846153846153845	3.5250582268891085e-05	0.00021220175729436496	0.0003521699428387568	0.0004918868393460975	0.00040856220691967693	0.00014776440547921958	6.0078843660820413e-05	0.00014776440547921958	0.00028823067684915685	0.00020654956280150081	0.0002394520371734366	0.0004130991256030017	0.00013952582420936194	0.0004458885152673673	0.00011013708510212579	0.0001090572836827525	0.00013952582420936196	0.00010204999354939691	0.00016516085041218379	7.844645405527362e-05	0.0002155219342480292	7.536891516255933e-05	5.102499677469846e-05	0.00014776440547921958	0.0003736910092766498	0.00036153846153846154	0.000881801544848408
515rcbc15	0.00030147566065023726	0.00032124020027417076	0.0006239784550976385	0.0002170267073794751	0.0001090572836827525	0.00016516085041218373	0.00010905728368275248	0.00027692307692307695	0.00046568648823585565	0.0003422860840197999	0.00016782634022516484	9.389658165949003e-05	0.0002	6.0078843660820413e-05	0.00022081077068318962	0.00039230769230769234	0.0003521699428387568	0.00034478361278484574	0.00013345655056074977	0.00012616322666812865	8.970695222838922e-05	0.0005908573652206622	0.00014776440547921958	0.00026379120306895763	0.0005502016843768513	0.0001191687183448436	0.00015839430986133845	0.00013345655056074977	0.0001076923076923077	0.00013234346564680965	9.262765060609459e-05	0.0003321972751029105	0.0001499506822278302	0.00016569737868106166	7.536891516255933e-05	3.525058226889108e-05	0.0002105220335908309	0.0010166949587035704	0.00029831876045638943	0.000978133713829647
515rcbc16	0.00025754875450435696	0.00029432502261090757	0.0006354423516327194	0.00018920575194228992	0.00010905728368275251	0.00018268218595442946	0.0001622694085363768	0.00026153846153846154	0.000445954862788792	0.0004131707385229472	0.00011817147304413242	0.00011640573808016583	0.00012138256798507309	3.076923076923077e-05	0.00029552881095843916	0.00011941672843276942	0.000600591424490558	0.00046670188652669274	0.00036112906444016926	0.0003118943835802045	0.0004257954616337861	0.0002499704124503373	0.00029078551032978153	0.0004617948006093425	0.00041822391443286733	8.031005006854269e-05	0.0005958932432881326	6.201736729460424e-05	0.00020191391920625673	0.00017217714835076454	0.0002546606978037977	0.0003249032627991212	0.00011640573808016583	0.00016516085041218379	0.00019896180240580865	0.0001249852062251686	0.0006019691552773492	0.0009675504359741905	0.0005342693955133952	0.0012485257578629826
515rcbc17	0.0002621034621138588	0.0002816897449784701	0.0006148555417966944	7.730673554708378e-05	0.00010320313742306722	0.00014615384615384615	4.865042554105199e-05	0.0003303217008243675	0.0007776843186076752	0.0005165314450522937	0.00017217714835076454	3.846153846153846e-05	0.0004351426345763369	6.389710663783135e-05	0.0002825287334185686	0.0003494712828184784	0.0006287020535908477	0.00035783702614193867	0.00016062010013708538	9.850960365281305e-05	0.00019169131991349404	0.00035090753009098594	0.00011941672843276942	0.00022307692307692306	0.000461281980017383	0.00012427303401079626	0.00030585992849340067	8.565791327430804e-05	9.850960365281305e-05	0.00013434037843517677	7.091957274840684e-05	0.00029632861975781885	6.201736729460422e-05	5.756395979652217e-05	5.384615384615384e-05	5.384615384615385e-05	0.0003910235392965795	0.0005455034046612738	0.0006356751058808945	0.0015322953351370745
